x,y,z,yaw,velocity,change_flag
0.0026,-0.0244,-0.0360,-0.0021,0,0
1.0262,-0.0466,0.0016,-0.0141,1.1968,0
2.0295,-0.0443,-0.0193,-0.0185,1.1351,0
3.0386,-0.0603,-0.0131,-0.0058,1.1069,0
4.0633,-0.0589,0.0001,-0.0027,1.6401,0
5.0784,-0.0591,0.0063,0.0036,0.9103,0
6.0794,-0.0620,0.0069,-0.0000,1.1380,0
7.0970,-0.0433,0.0049,-0.0086,1.2485,0
8.1098,-0.0450,-0.0066,-0.0129,0.9098,0
9.1432,-0.0363,-0.0026,-0.0051,1.4979,0
10.1633,-0.0701,0.0310,0.0006,0.8556,0
11.1864,-0.0816,0.0579,0.0083,1.1236,0
12.2135,-0.0826,0.0702,0.0149,1.3668,0
13.2280,-0.0516,0.0659,0.0106,0.9122,0
14.2522,-0.0443,0.0855,-0.0060,1.1203,0
15.3027,-0.0740,0.0984,-0.0210,2.0597,0
16.3416,-0.0841,0.1247,-0.0103,1.4944,0
17.3587,-0.0896,0.1303,-0.0054,1.1118,0
18.3675,-0.0901,0.1413,-0.0096,1.6403,0
19.3900,-0.1215,0.1504,-0.0235,1.3023,0
20.4018,-0.0991,0.1495,0.0050,1.1398,0
21.4332,-0.0945,0.1545,0.0143,1.3985,0
22.4531,-0.0898,0.1760,-0.0037,1.1758,0
23.4625,-0.1106,0.1904,-0.0192,1.1295,0
24.4749,-0.1233,0.2195,-0.0034,1.4224,0
25.4966,-0.1218,0.2327,-0.0019,0.9187,0
26.5154,-0.1342,0.2390,-0.0032,1.6285,0
27.5353,-0.1662,0.2546,-0.0195,1.7102,0
28.5543,-0.1698,0.2518,-0.0105,1.2445,0
29.5679,-0.1788,0.2762,-0.0001,1.1736,0
30.6017,-0.1639,0.2873,-0.0026,1.2377,0
31.6230,-0.1811,0.3112,-0.0169,1.1585,0
32.6585,-0.1917,0.3236,-0.0036,1.6896,0
33.6612,-0.1897,0.3317,0.0033,1.1986,0
34.6676,-0.1872,0.3554,0.0107,1.2036,0
35.6788,-0.1758,0.3648,0.0091,1.0080,0
36.6831,-0.1759,0.3646,-0.0129,1.4730,0
37.7186,-0.2103,0.4127,-0.0221,1.5402,0
38.7276,-0.2004,0.3985,-0.0180,1.2615,0
39.7368,-0.2238,0.4163,-0.0131,1.1986,0
40.7480,-0.2403,0.4272,-0.0087,1.1257,0
41.7538,-0.2466,0.4512,-0.0023,1.4621,0
42.7814,-0.2448,0.4674,0.0015,1.5154,0
43.8200,-0.2378,0.4742,0.0075,1.9662,0
44.8251,-0.2396,0.4860,-0.0098,1.7724,0
45.8539,-0.2727,0.5015,-0.0236,1.1662,0
46.8708,-0.2598,0.5066,-0.0125,1.5275,0
47.8946,-0.2955,0.5311,-0.0123,1.1465,0
