PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,36,137.1000002,-0.048,0.002,0.046,7,5437,1,3
2,35.596,137.1000042,-0.048,-0.001,1.046,7,5337,71,93
3,35.596,137.1000082,-0.048,-0.004,2.046,7,5337,71,93
4,35.596,137.1000122,-0.048,-0.007,3.046,7,5337,71,93
5,35.596,137.1000162,-0.048,-0.01,4.046,7,5337,71,93
6,35.596,137.1000201,-0.048,-0.013,5.046,7,5337,71,93
7,35.5959999,137.1000241,-0.048,-0.016,6.046,7,5337,71,93
8,35.5959999,137.1000281,-0.048,-0.019,7.046,7,5337,71,93
9,35.5959999,137.1000321,-0.048,-0.022,8.046,7,5337,71,93
10,35.5959999,137.1000361,-0.048,-0.025,9.046,7,5337,71,93
11,35.5959999,137.1000401,-0.048,-0.028,10.046,7,5337,71,93
12,35.5959999,137.1000441,-0.048,-0.031,11.046,7,5337,71,93
13,35.5959999,137.1000481,-0.048,-0.034,12.046,7,5337,71,93
14,35.5959999,137.1000521,-0.048,-0.037,13.046,7,5337,71,93
15,35.5959999,137.1000561,-0.048,-0.04,14.046,7,5337,71,93
16,35.5959999,137.1000601,-0.048,-0.043,15.046,7,5337,71,93
17,35.5959999,137.1000641,-0.048,-0.046,16.046,7,5337,71,93
18,35.5959998,137.1000681,-0.048,-0.049,17.046,7,5337,71,93
19,35.5959998,137.1000721,-0.048,-0.052,18.046,7,5337,71,93
20,35.5959998,137.1000761,-0.048,-0.055,19.046,7,5337,71,93
21,35.5959998,137.10008,-0.048,-0.058,20.046,7,5337,71,93
22,35.5959998,137.100084,-0.048,-0.061,21.046,7,5337,71,93
23,35.5959998,137.100088,-0.048,-0.064,22.046,7,5337,71,93
24,35.5959998,137.100092,-0.048,-0.067,23.046,7,5337,71,93
25,35.5959998,137.100096,-0.048,-0.07,24.046,7,5337,71,93
26,35.5959998,137.1001,-0.048,-0.073,25.046,7,5337,71,93
27,35.5959998,137.100104,-0.048,-0.076,26.046,7,5337,71,93
28,35.5959997,137.100108,-0.048,-0.079,27.046,7,5337,71,93
29,35.5959997,137.100112,-0.048,-0.082,28.046,7,5337,71,93
30,35.5959997,137.100116,-0.048,-0.085,29.046,7,5337,71,93
31,35.5959997,137.10012,-0.048,-0.088,30.046,7,5337,71,93
32,35.5959997,137.100124,-0.048,-0.091,31.046,7,5337,71,93
33,35.5959997,137.100128,-0.048,-0.094,32.046,7,5337,71,93
34,35.5959997,137.100132,-0.048,-0.097,33.046,7,5337,71,93
35,35.5959997,137.100136,-0.048,-0.1,34.046,7,5337,71,93
36,35.5959997,137.1001399,-0.048,-0.103,35.046,7,5337,71,93
37,35.5959997,137.1001439,-0.048,-0.106,36.046,7,5337,71,93
38,35.5959996,137.1001479,-0.048,-0.109,37.046,7,5337,71,93
39,35.5959996,137.1001519,-0.048,-0.112,38.046,7,5337,71,93
40,35.5959996,137.1001559,-0.048,-0.115,39.046,7,5337,71,93
